#	ID	NAME	UNCONSTRAINED	MIRIAM	COMPOSITION	InChI	COMPARTMENT	REPLACEMENT ID	METS FIELD	CHARGE
	Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA[c]	Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA		bigg.metabolite/phphhlipa;biocyc/META:CPD0-2239;metanetx.chemical/MNXM75133;seed.compound/cpd15550	C131H230N2O63P4		c	m23	M_phphhlipa_c	-10	
	3-Phospho-D-glyceroyl phosphate[c]	3-Phospho-D-glyceroyl phosphate		bigg.metabolite/13dpg;biocyc/META:DPG;chebi/CHEBI:57604;chebi/CHEBI:20189;chebi/CHEBI:11881;chebi/CHEBI:16001;chebi/CHEBI:1658;hmdb/HMDB62758;kegg.compound/C00236;metanetx.chemical/MNXM261;reactome.compound/29800;sabiork/21215;seed.compound/cpd00203	C3H4O10P2		c	m24	M_13dpg_c	-4	
	Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)[p]	Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)		bigg.metabolite/murein3px4p;biocyc/META:CPD0-2273;metanetx.chemical/MNXM88341;seed.compound/cpd15503	C71H107N13O38		p	m25	M_murein3px4p_p	-4	
	3,4-Dihydroxyphenylacetaldehyde[e]	3,4-Dihydroxyphenylacetaldehyde		bigg.metabolite/34dhpac;biocyc/META:34-DIHYDROXYPHENYLACETALDEHYDE;chebi/CHEBI:19888;chebi/CHEBI:1385;chebi/CHEBI:27978;hmdb/HMDB06778;hmdb/HMDB03791;hmdb/HMDB06256;kegg.compound/C04043;metanetx.chemical/MNXM1401;sabiork/7037;seed.compound/cpd02500	C8H8O3		e	m26	M_34dhpac_e	0	
	1-octadec-11-enoyl-sn-glycerol 3-phosphate[c]	1-octadec-11-enoyl-sn-glycerol 3-phosphate		bigg.metabolite/1odec11eg3p;metanetx.chemical/MNXM91049;seed.compound/cpd15328	C21H39O7P1		c	m27	M_1odec11eg3p_c	-2	
	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)[p]	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)		bigg.metabolite/12dgr181;metanetx.chemical/MNXM3775	C39H72O5		p	m28	M_12dgr181_p	0	
	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid[e]	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid		bigg.metabolite/anhgm;metanetx.chemical/MNXM3060;seed.compound/cpd15396	C19H29N2O12		e	m29	M_anhgm_e	-1	
	1-(5-Phosphoribosyl)-AMP[c]	1-(5-Phosphoribosyl)-AMP		bigg.metabolite/prbamp;biocyc/META:PHOSPHORIBOSYL-AMP;chebi/CHEBI:7354;chebi/CHEBI:11195;chebi/CHEBI:37522;chebi/CHEBI:59457;chebi/CHEBI:18374;chebi/CHEBI:8166;chebi/CHEBI:20628;hmdb/HMDB12276;kegg.compound/C02741;metanetx.chemical/MNXM1515;seed.compound/cpd01777	C15H19N5O14P2		c	m30	M_prbamp_c	-4	
	Fused thiol:disulfide interchange protein (reduced)[c]	Fused thiol:disulfide interchange protein (reduced)		bigg.metabolite/dsbdrd;metanetx.chemical/MNXM8620;seed.compound/cpd15451	XH2		c	m31	M_dsbdrd_c	0	
	Copper[p]	Copper		bigg.metabolite/cu2;biocyc/META:CU+2;chebi/CHEBI:29036;chebi/CHEBI:23380;chebi/CHEBI:49550;chebi/CHEBI:20882;hmdb/HMDB00657;kegg.compound/C00070;metanetx.chemical/MNXM632;reactome.compound/437295;reactome.compound/936901;reactome.compound/209799;sabiork/19;seed.compound/cpd00058	Cu		p	m32	M_cu2_p	2	
	Sulpholactaldehyde[c]	Sulpholactaldehyde		bigg.metabolite/sla	C3H5O5S		c	m33	M_sla_c	-1	
	1,4-alpha-D-glucan[p]	1,4-alpha-D-glucan		bigg.metabolite/14glucan;biocyc/META:1-4-alpha-D-Glucan;metanetx.chemical/MNXM2905;seed.compound/cpd21754	C36H62O31		p	m34	M_14glucan_p	0	
	Geranyl diphosphate[c]	Geranyl diphosphate		bigg.metabolite/grdp;biocyc/META:GERANYL-PP;chebi/CHEBI:17211;chebi/CHEBI:24223;chebi/CHEBI:58057;chebi/CHEBI:42877;chebi/CHEBI:14299;chebi/CHEBI:5332;hmdb/HMDB01285;hmdb/HMDB02239;hmdb/HMDB06506;hmdb/HMDB01560;kegg.compound/C00341;lipidmaps/LMPR0102010001;metanetx.chemical/MNXM100;reactome.compound/191409;sabiork/5050;sabiork/1846;seed.compound/cpd00283;seed.compound/cpd03476	C10H17O7P2		c	m35	M_grdp_c	-3	
	Riboflavin C17H20N4O6[p]	Riboflavin C17H20N4O6		bigg.metabolite/ribflv;biocyc/META:RIBOFLAVIN;chebi/CHEBI:57986;chebi/CHEBI:17015;chebi/CHEBI:8843;chebi/CHEBI:45214;chebi/CHEBI:15044;chebi/CHEBI:529204;chebi/CHEBI:27299;hmdb/HMDB00244;kegg.compound/C00255;kegg.drug/D00050;metanetx.chemical/MNXM270;reactome.compound/3165253;reactome.compound/196931;sabiork/1996;seed.compound/cpd00220	C17H20N4O6		p	m36	M_ribflv_p	0	
	Dimethyl sulfide[e]	Dimethyl sulfide		bigg.metabolite/dms;biocyc/META:CPD-7670;chebi/CHEBI:17437;chebi/CHEBI:44169;chebi/CHEBI:4611;chebi/CHEBI:23800;chebi/CHEBI:14175;chebi/CHEBI:14168;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/26c081a5-2c2d-4e64-bd11-0d80376989ba;hmdb/HMDB02303;kegg.compound/C00580;metanetx.chemical/MNXM444;sabiork/2104;seed.compound/cpd00450	C2H6S		e	m37	M_dms_e	0	
	Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)[c]	Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)		bigg.metabolite/pgp141;metanetx.chemical/MNXM5271	C34H61O13P2		c	m38	M_pgp141_c	-3	
	L Cystine C6H12N2O4S2[c]	L Cystine C6H12N2O4S2		bigg.metabolite/cysi__L;biocyc/META:CYSTINE;chebi/CHEBI:6209;chebi/CHEBI:35491;chebi/CHEBI:63163;chebi/CHEBI:13097;chebi/CHEBI:16283;chebi/CHEBI:21278;hmdb/HMDB00192;kegg.compound/C00491;kegg.drug/D03636;metanetx.chemical/MNXM927;sabiork/2060;seed.compound/cpd00381	C6H12N2O4S2		c	m39	M_cysi__L_c	0	
	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine[c]	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine		bigg.metabolite/fpram;chebi/CHEBI:18413;chebi/CHEBI:58478;chebi/CHEBI:971;chebi/CHEBI:11474;hmdb/HMDB06211;metanetx.chemical/MNXM479745;reactome.compound/111369	C8H15N3O8P		c	m40	M_fpram_c	-1	
	D-Fructose 1-phosphate[c]	D-Fructose 1-phosphate		bigg.metabolite/f1p;biocyc/META:D-fructofuranose-1-phosphate;chebi/CHEBI:37515;chebi/CHEBI:5174;chebi/CHEBI:20930;chebi/CHEBI:58674;kegg.compound/C01094;metanetx.chemical/MNXM145568;sabiork/1458;sabiork/1351;seed.compound/cpd00802	C6H11O9P		c	m41	M_f1p_c	-2	
	Periplasmic protein disulfide isomerase I (reduced)[p]	Periplasmic protein disulfide isomerase I (reduced)		bigg.metabolite/dsbard;metanetx.chemical/MNXM12618;seed.compound/cpd15447	XH2		p	m42	M_dsbard_p	0	
	L-Threonine[c]	L-Threonine		bigg.metabolite/thr__L;biocyc/META:THR;chebi/CHEBI:16857;chebi/CHEBI:42083;chebi/CHEBI:32822;chebi/CHEBI:45843;chebi/CHEBI:57926;chebi/CHEBI:21403;chebi/CHEBI:32833;chebi/CHEBI:32820;chebi/CHEBI:13175;chebi/CHEBI:6308;chebi/CHEBI:45983;chebi/CHEBI:32832;chebi/CHEBI:26986;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/b570a573-71c2-4661-a517-6ac1b121dc59;hmdb/HMDB00167;kegg.compound/C00188;kegg.drug/D00041;metanetx.chemical/MNXM142;reactome.compound/352000;reactome.compound/351990;reactome.compound/379706;sabiork/76;sabiork/27463;seed.compound/cpd00161	C4H9NO3		c	m43	M_thr__L_c	0	
	Deoxycytidine[p]	Deoxycytidine		bigg.metabolite/dcyt;biocyc/META:DEOXYCYTIDINE;chebi/CHEBI:41434;chebi/CHEBI:15698;chebi/CHEBI:41430;chebi/CHEBI:4407;chebi/CHEBI:19240;chebi/CHEBI:41806;chebi/CHEBI:41417;hmdb/HMDB00014;kegg.compound/C00881;metanetx.chemical/MNXM704;reactome.compound/500829;sabiork/2178;seed.compound/cpd00654	C9H13N3O4		p	m44	M_dcyt_p	0	
	2-Dehydro-3-deoxy-D-gluconate[c]	2-Dehydro-3-deoxy-D-gluconate		bigg.metabolite/2ddglcn;biocyc/META:2-DEHYDRO-3-DEOXY-D-GLUCONATE;chebi/CHEBI:1059;chebi/CHEBI:11550;chebi/CHEBI:19530;chebi/CHEBI:17032;chebi/CHEBI:57990;kegg.compound/C00204;lipidmaps/LMFA01050475;metanetx.chemical/MNXM440;sabiork/1973;sabiork/21127;seed.compound/cpd00176	C6H9O6		c	m45	M_2ddglcn_c	-1	
	Fumarate[p]	Fumarate		bigg.metabolite/fum;biocyc/META:FUM;chebi/CHEBI:36180;chebi/CHEBI:37155;chebi/CHEBI:42511;chebi/CHEBI:5190;chebi/CHEBI:18012;chebi/CHEBI:42743;chebi/CHEBI:22956;chebi/CHEBI:22957;chebi/CHEBI:24124;chebi/CHEBI:14284;chebi/CHEBI:37154;chebi/CHEBI:29806;chebi/CHEBI:22958;chebi/CHEBI:24122;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/709035ec-4868-4de8-9095-06428f6be14b;hmdb/HMDB00134;kegg.compound/C00122;kegg.drug/D02308;metanetx.chemical/MNXM93;reactome.compound/113588;reactome.compound/29586;sabiork/1910;seed.compound/cpd00106	C4H2O4		p	m46	M_fum_p	-2	
	L-Galactonate[e]	L-Galactonate		bigg.metabolite/galctn__L;biocyc/META:CPD0-1083;chebi/CHEBI:37425;chebi/CHEBI:53071;kegg.compound/C15930;metanetx.chemical/MNXM636;sabiork/24860;seed.compound/cpd14659	C6H11O7		e	m47	M_galctn__L_e	-1	
	Biotin[e]	Biotin		bigg.metabolite/btn;biocyc/META:BIOTIN;chebi/CHEBI:13905;chebi/CHEBI:57586;chebi/CHEBI:22884;chebi/CHEBI:3108;chebi/CHEBI:41236;chebi/CHEBI:15956;chebi/CHEBI:22882;hmdb/HMDB00030;kegg.compound/C00120;kegg.drug/D00029;metanetx.chemical/MNXM304;reactome.compound/199238;reactome.compound/29582;reactome.compound/199207;sabiork/1936;seed.compound/cpd00104	C10H15N2O3S		e	m48	M_btn_e	-1	
	Pyridoxine[p]	Pyridoxine		bigg.metabolite/pydxn;biocyc/META:PYRIDOXINE;chebi/CHEBI:14981;chebi/CHEBI:26429;chebi/CHEBI:16709;chebi/CHEBI:8671;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/344a84bd-2fbd-4e3b-903e-556786d111e2;hmdb/HMDB02075;hmdb/HMDB00239;kegg.compound/C00314;kegg.drug/D08454;metanetx.chemical/MNXM419;reactome.compound/965053;sabiork/2015;seed.compound/cpd00263	C8H11NO3		p	m49	M_pydxn_p	0	
	Octadecenoate (n-C18:1)[e]	Octadecenoate (n-C18:1)		bigg.metabolite/ocdcea;biocyc/META:OLEATE-CPD;chebi/CHEBI:30823;chebi/CHEBI:25664;chebi/CHEBI:16196;chebi/CHEBI:7741;chebi/CHEBI:14684;chebi/CHEBI:104361;chebi/CHEBI:25663;chebi/CHEBI:44741;hmdb/HMDB00207;hmdb/HMDB02066;kegg.compound/C00712;kegg.drug/D02315;lipidmaps/LMFA01030810;lipidmaps/LMFA01030763;lipidmaps/LMFA01030002;metanetx.chemical/MNXM306;sabiork/2139;sabiork/28897;seed.compound/cpd00536;slm/000000418	C18H33O2		e	m50	M_ocdcea_e	-1	
	7-cyano-7-carbaguanine[c]	7-cyano-7-carbaguanine		bigg.metabolite/preq0;biocyc/META:7-CYANO-7-DEAZAGUANINE;chebi/CHEBI:45075;chebi/CHEBI:677358;kegg.compound/C15996;metanetx.chemical/MNXM2207;sabiork/28950;seed.compound/cpd14718	C7H5N5O		c	m51	M_preq0_c	0	
	L-Tyrosine[p]	L-Tyrosine		bigg.metabolite/tyr__L;biocyc/META:TYR;chebi/CHEBI:6313;chebi/CHEBI:21411;chebi/CHEBI:46070;chebi/CHEBI:9800;chebi/CHEBI:32786;chebi/CHEBI:15277;chebi/CHEBI:32761;chebi/CHEBI:32784;chebi/CHEBI:46161;chebi/CHEBI:13181;chebi/CHEBI:32760;chebi/CHEBI:58315;chebi/CHEBI:32762;chebi/CHEBI:27176;chebi/CHEBI:17895;chebi/CHEBI:18186;chebi/CHEBI:32785;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/974bd9b7-53fb-48cd-aaf3-6bd3196c0365;hmdb/HMDB00647;hmdb/HMDB00158;kegg.compound/C00082;kegg.compound/C01536;kegg.drug/D00022;metanetx.chemical/MNXM76;reactome.compound/379710;reactome.compound/5668567;reactome.compound/352030;reactome.compound/29506;sabiork/84;sabiork/2291;seed.compound/cpd30745;seed.compound/cpd00069	C9H11NO3		p	m52	M_tyr__L_p	0	
	DTDP-4-dehydro-6-deoxy-D-glucose[c]	DTDP-4-dehydro-6-deoxy-D-glucose		bigg.metabolite/dtdp4d6dg;biocyc/META:DTDP-DEOH-DEOXY-GLUCOSE;chebi/CHEBI:14081;chebi/CHEBI:62829;chebi/CHEBI:10510;chebi/CHEBI:57649;chebi/CHEBI:16128;chebi/CHEBI:23542;hmdb/HMDB60081;kegg.compound/C11907;metanetx.chemical/MNXM451;sabiork/1563;seed.compound/cpd00521	C16H22N2O15P2		c	m53	M_dtdp4d6dg_c	-2	
	N-Acetylmuramate[e]	N-Acetylmuramate		bigg.metabolite/acmum;biocyc/META:NACMUR;chebi/CHEBI:47978;chebi/CHEBI:47965;chebi/CHEBI:21615;chebi/CHEBI:7212;chebi/CHEBI:28881;hmdb/HMDB60493;kegg.compound/C02713;metanetx.chemical/MNXM2263;seed.compound/cpd01757	C11H18NO8		e	m54	M_acmum_e	-1	
	D-Mannose[p]	D-Mannose		bigg.metabolite/man;biocyc/META:D-mannopyranose;chebi/CHEBI:4208;chebi/CHEBI:37684;chebi/CHEBI:14575;chebi/CHEBI:16024;chebi/CHEBI:21057;chebi/CHEBI:33930;chebi/CHEBI:12999;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/c5f931e8-e7f7-4b73-bed6-48662796fe18;hmdb/HMDB00169;kegg.compound/C00159;metanetx.chemical/MNXM182;reactome.compound/964752;reactome.compound/6799594;reactome.compound/429579;sabiork/1656;seed.compound/cpd00138;seed.compound/cpd27437	C6H12O6		p	m55	M_man_p	0	
	Adenosylcobalamin[e]	Adenosylcobalamin		bigg.metabolite/adocbl;biocyc/META:ADENOSYLCOBALAMIN;hmdb/HMDB02086;kegg.compound/C00194;kegg.drug/D00042;metanetx.chemical/MNXM90703;reactome.compound/3159297;seed.compound/cpd00166	C72H100CoN18O17P		e	m56	M_adocbl_e	0	
	IscU with bound [2Fe-2S] cluster[c]	IscU with bound [2Fe-2S] cluster		bigg.metabolite/iscu_2fe2s;metanetx.chemical/MNXM147129	H4O2S8Fe2R		c	m57	M_iscu_2fe2s_c	-2	
	Fructoselysine Phosphate[c]	Fructoselysine Phosphate		bigg.metabolite/frulysp;metanetx.chemical/MNXM11605;seed.compound/cpd15467	C12H24N2O10P		c	m58	M_frulysp_c	-1	
	DUMP C9H11N2O8P[p]	DUMP C9H11N2O8P		bigg.metabolite/dump;biocyc/META:DUMP;chebi/CHEBI:19263;chebi/CHEBI:14094;chebi/CHEBI:46288;chebi/CHEBI:246422;chebi/CHEBI:47722;chebi/CHEBI:17622;chebi/CHEBI:42245;chebi/CHEBI:46286;chebi/CHEBI:10532;hmdb/HMDB01409;kegg.compound/C00365;metanetx.chemical/MNXM234;reactome.compound/109382;reactome.compound/500742;sabiork/1334;seed.compound/cpd00299	C9H11N2O8P		p	m59	M_dump_p	-2	
	Novobiocin[e]	Novobiocin		bigg.metabolite/novbcn;biocyc/META:CPD-15417;chebi/CHEBI:25597;chebi/CHEBI:44505;chebi/CHEBI:7644;chebi/CHEBI:28368;chebi/CHEBI:71339;hmdb/HMDB15185;kegg.compound/C05080;metanetx.chemical/MNXM65002;seed.compound/cpd03032	C31H36N2O11		e	m60	M_novbcn_e	0	
